,accuracy,precision,recall,f1_score,roc_auc
LinearSVC,0.9136321706092966,0.8871484239728937,0.9136321706092966,0.8777102557506467,0.8358930194254778
KNN,0.9044387810941384,0.8715273036508641,0.9044387810941384,0.8818420864007784,0.7000582824264785
LogisticRegression,0.9138823308682125,0.8868501614431551,0.9138823308682125,0.8859016677096754,0.8364468015921063
RandomForestClassifier,0.9014681280195125,0.8704543128528744,0.9014681280195125,0.8813434024358956,0.7804914609307152
XGBoost,0.9126315295736331,0.8830958804094967,0.9126315295736331,0.8846088727683635,0.8343125597187526
GradientBoosting,0.9140230460138526,0.8870624260326017,0.9140230460138526,0.8846259154535924,0.8380146735300507
LGBMClassifier,0.9143826513860441,0.8885577560363513,0.9143826513860441,0.8834270801883858,0.8398377430629675
CatBoost,0.9135696305445676,0.8857791596165366,0.9135696305445676,0.8852305898854681,0.8379035129768024
RidgeClassifier,0.9135227254960209,0.8876217769982488,0.9135227254960209,0.8765487798401734,0.8310867988194575
NaiveBayes,0.7514032427023561,0.9004646657861379,0.7514032427023561,0.802403972225375,0.813236420473746
LDA,0.9055957722916244,0.8865992958640216,0.9055957722916244,0.8934815998840127,0.8310869029898698
